 1     0
 2     0
 3     0
 4 17855
 5 39602
 6 22783
 7 21757
 8  6303
 9  7634
10  8171
11  9010
12  3407
13  2991
14  2639
15   282
16   355
17  1443
18   796
19   570
20  3278
21  1249
22   978
23   535
24   404
25   292
26   327
27   360
28   779
29   939
30   711
31   581
32   279
33   372
34   320
35   328
36   197
37   129
38   177
39   289
40   377
41   866
42  1873
43   241
44    81
45    34
46     6
47     6
48    10
49    26
50    17
51    35
52    11
53    14
 54  6
 55  9
 56 12
 57 33
 58  1
 59  3
 60 56
 61 16
 62 25
 63 77
 64 76
 65 30
 66 18
 67 31
 68 43
 69 30
 70 10
 71  5
 72  8
 73 54
 74  8
 75  7
 76 35
 77 21
 78 28
 79 16
 80 60
 81 11
 82 16
 83 21
 84 48
 85 38
 86 43
 87 28
 88 52
 89 22
 90 35
 91 69
 92 22
 93  2
 94  0
 95  0
 96  0
 97  0
 98  0
 99  0
100  0
101  0
102  0
103  0
104  0
105  0
106  0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
128 0


